Title1,Title2,Similarity Score,Rank,Game Genre,Year,NA Sales,EU Sales,JP Sales,Other Sales,Global Sales,ESRB rating
Tetris Effect,Tetris,0.7071067811865475,6,Puzzle,1989.0,23.2,2.26,4.22,0.58,30.26,E
Grand Theft Auto V,Grand Theft Auto V,1.0,17,Action,2013.0,7.01,9.27,0.97,4.14,21.4,M
Grand Theft Auto V,Grand Theft Auto: San Andreas,0.6708203932499369,18,Action,2004.0,9.43,0.4,0.41,10.57,20.81,M
Grand Theft Auto V,Grand Theft Auto: Vice City,0.6708203932499369,25,Action,2002.0,8.41,5.49,0.47,1.78,16.15,M
Call of Duty®: Modern Warfare®,Call of Duty: Modern Warfare 3,0.9128709291752769,30,Shooter,2011.0,9.03,4.28,0.13,1.32,14.76,M
Call of Duty®: Black Ops Cold War,Call of Duty: Black Ops,0.8451542547285165,32,Shooter,2010.0,9.67,3.73,0.11,1.13,14.64,M
Call of Duty®: Black Ops Cold War,Call of Duty: Black Ops 3,0.7715167498104595,34,Shooter,2015.0,5.77,5.81,0.35,2.31,14.24,M
Call of Duty®: Black Ops Cold War,Call of Duty: Black Ops II,0.7715167498104595,35,Shooter,2012.0,4.99,5.88,0.65,2.52,14.03,M
Call of Duty®: Modern Warfare®,Call of Duty: Modern Warfare 2,0.9128709291752769,37,Shooter,2009.0,8.52,3.63,0.08,1.29,13.51,M
Grand Theft Auto V,Grand Theft Auto III,0.75,39,Action,2001.0,6.99,4.51,0.3,1.3,13.1,M
Grand Theft Auto V,Grand Theft Auto IV,0.75,52,Action,2008.0,6.76,3.1,0.14,1.03,11.02,M
Call of Duty®: Modern Warfare®,Call of Duty: Ghosts,0.6708203932499369,62,Shooter,2013.0,6.72,2.63,0.04,0.82,10.21,M
FINAL FANTASY VII Remake,Final Fantasy VII,0.8660254037844387,67,Role-Playing,1997.0,3.01,2.47,3.28,0.96,9.72,T
Call of Duty®: Modern Warfare®,Call of Duty 4: Modern Warfare,0.9128709291752769,71,Shooter,2007.0,5.91,2.38,0.13,0.9,9.32,M
Minecraft,Minecraft,1.0,73,Misc,2013.0,5.58,2.83,0.02,0.77,9.2,ET
The Elder Scrolls V: Skyrim VR,The Elder Scrolls V: Skyrim,0.9128709291752769,76,Role-Playing,2011.0,5.03,2.86,0.1,0.85,8.84,M
Star Wars™ Battlefront™ II,Star Wars Battlefront (2015),0.75,93,Shooter,2015.0,2.93,3.29,0.22,1.23,7.67,T
Call of Duty: Warzone,Call of Duty: Advanced Warfare,0.6708203932499369,94,Shooter,2014.0,2.8,3.3,0.14,1.37,7.6,M
Just Dance 2018,Just Dance,0.8164965809277259,103,Misc,2009.0,3.51,3.03,0.0,0.73,7.27,ET
Need for Speed HEAT,Need for Speed Underground,0.75,105,Racing,2003.0,3.27,2.83,0.08,1.02,7.2,T
Need for Speed™ Payback,Need for Speed Underground 2,0.6708203932499369,114,Racing,2004.0,2.71,3.02,0.08,1.09,6.9,T
Red Dead Redemption 2,Red Dead Redemption,0.8660254037844387,124,Action,2010.0,2.79,2.61,0.17,1.03,6.6,M
Brigandine: The Legend of Runersia,The Legend of Zelda,0.6708203932499369,128,Action,1986.0,3.74,0.93,1.69,0.14,6.51,T
Assassin's Creed III Remastered ,Assassin's Creed III,0.8944271909999159,129,Action,2012.0,2.64,2.56,0.16,1.14,6.5,M
Kingdom Hearts 3,Kingdom Hearts,0.8164965809277259,132,Role-Playing,2002.0,3.64,1.2,1.49,0.07,6.4,ET
Truck Driver,Driver,0.7071067811865475,139,Action,1999.0,3.11,2.8,0.02,0.33,6.27,E
The Last of Us Part II,The Last of Us,0.8164965809277261,147,Action,2013.0,2.41,2.28,0.28,1.01,5.99,M
Resident Evil 2,Resident Evil 2,1.0000000000000002,152,Action,1998.0,1.88,1.47,2.02,0.45,5.82,M
Cooking Mama: Cookstar,Cooking Mama,0.8164965809277259,154,Simulation,2006.0,3.13,1.94,0.07,0.58,5.72,E
Destiny,Destiny,1.0,155,Shooter,2014.0,2.49,2.05,0.16,0.96,5.65,T
Assassin's Creed Rogue Remastered,Assassin's Creed II,0.6708203932499369,157,Action,2009.0,2.54,1.95,0.21,0.87,5.57,M
Assassin's Creed Odyssey ,Assassin's Creed,0.8660254037844387,159,Adventure,2007.0,3.28,1.65,0.07,0.55,5.55,M
FINAL FANTASY IX,Final Fantasy IX,1.0000000000000002,174,Role-Playing,2000.0,1.62,0.77,2.78,0.14,5.3,T
Resident Evil 3,Resident Evil,0.8164965809277259,202,Action,1996.0,2.05,1.16,1.11,0.73,5.05,M
Tony Hawk's Pro Skater 1 and 2,Tony Hawk's Pro Skater,0.7905694150420948,203,Sports,1999.0,3.42,1.38,0.02,0.2,5.02,T
God of War,God of War III,0.8660254037844387,217,Action,2010.0,2.74,1.36,0.12,0.63,4.84,M
Crash™ Team Racing Nitro-Fueled,Crash Team Racing,0.7745966692414834,221,Racing,1999.0,2.57,1.57,0.44,0.21,4.79,ET
Tony Hawk's Pro Skater 1 and 2,Tony Hawk's Pro Skater 2,0.8660254037844387,226,Sports,2000.0,3.05,1.41,0.02,0.2,4.68,T
The Lord of the Rings Living Card Game,The Lord of the Rings: The Two Towers,0.760638829255665,228,Action,2002.0,1.94,1.95,0.08,0.7,4.67,ET
God of War,God of War,1.0000000000000002,246,Action,2005.0,2.71,1.29,0.02,0.43,4.45,M
Tony Hawk's Pro Skater 1 and 2,Tony Hawk's Pro Skater 3,0.7216878364870323,249,Sports,2001.0,2.66,1.29,0.01,0.46,4.41,T
Need for Speed™ Payback,Need for Speed: Most Wanted,0.6708203932499369,253,Racing,2005.0,2.03,1.79,0.08,0.47,4.37,T
Assassin's Creed III Remastered ,Assassin's Creed: Revelations,0.6708203932499369,264,Action,2011.0,1.41,2.02,0.1,0.72,4.24,M
Watch Dogs Complete Edition,Watch Dogs,0.7071067811865475,281,Action,2014.0,1.4,1.86,0.11,0.77,4.14,M
Carnival Games,Carnival Games,0.9999999999999998,287,Misc,2007.0,2.13,1.5,0.05,0.42,4.1,ET
God of War,God of War II,0.8660254037844387,291,Action,2007.0,2.32,0.04,0.04,1.67,4.07,M
Assassin's Creed Origins ,Assassin's Creed: Unity,0.75,305,Action,2014.0,1.18,1.96,0.08,0.7,3.92,M
Resident Evil 3,Resident Evil 3: Nemesis,0.8660254037844387,333,Action,1999.0,1.3,0.77,1.54,0.11,3.72,M
Tony Hawk's Pro Skater 1 and 2,Tony Hawk's Pro Skater 4,0.7216878364870323,340,Sports,2002.0,2.13,1.18,0.01,0.35,3.67,T
Jak & Daxter The Precursor Legacy,Jak and Daxter: The Precursor Legacy,0.9128709291752769,346,Platform,2001.0,2.08,1.09,0.15,0.33,3.64,ET
Pro Evolution Soccer 2019,Pro Evolution Soccer 2008,0.75,349,Sports,2007.0,0.05,0.0,0.64,2.93,3.63,E
Tom Clancy's The Division 2 ,Tom Clancy's The Division,0.9128709291752769,352,Shooter,2016.0,1.28,1.61,0.15,0.57,3.61,M
Star Wars™ Battlefront™ II,Star Wars: Battlefront,0.8660254037844387,353,Shooter,2004.0,1.93,1.22,0.03,0.44,3.61,T
Star Wars™ Battlefront™ II,Star Wars: Battlefront II,1.0,358,Shooter,2005.0,2.18,1.02,0.03,0.37,3.59,T
Legend of the Tetrarchs,Croc: Legend of the Gobbos,0.6708203932499369,360,Platform,1997.0,1.57,1.79,0.0,0.2,3.56,ET
Assassin's Creed III Remastered ,Assassin's Creed: Brotherhood,0.6708203932499369,374,Action,2010.0,2.84,0.39,0.03,0.24,3.5,M
Far Cry 3 Classic Edition,Far Cry 3,0.7745966692414834,383,Shooter,2012.0,0.88,1.75,0.1,0.72,3.45,M
Borderlands 3,Borderlands,0.7071067811865475,385,Shooter,2009.0,2.39,0.73,0.03,0.29,3.44,M
Grand Theft Auto V,Grand Theft Auto 2,0.75,389,Action,1998.0,1.13,2.07,0.0,0.22,3.42,M
The LEGO Movie 2 Videogame,LEGO Batman: The Videogame,0.6708203932499369,395,Action,2008.0,2.03,1.03,0.0,0.32,3.38,ET
The Ninja Saviors: Return of the Warriors,The Lord of the Rings: The Return of the King,0.7484551991837489,409,Action,2003.0,1.5,1.28,0.05,0.46,3.28,T
Assassin's Creed Origins ,Assassin's Creed Syndicate,0.75,410,Action,2015.0,0.8,1.92,0.06,0.5,3.28,M
L.A. Noire,L.A. Noire,1.0000000000000002,418,Adventure,2011.0,1.27,1.33,0.12,0.51,3.23,M
FINAL FANTASY VII Remake,Crisis Core: Final Fantasy VII,0.6708203932499369,425,Role-Playing,2007.0,1.35,0.6,0.8,0.44,3.19,T
God of War,God of War: Chains of Olympus,0.8164965809277259,426,Action,2008.0,1.48,1.01,0.04,0.66,3.19,M
Marvel's Spider-Man,Spider-Man,0.7071067811865475,442,Action,2000.0,1.7,1.25,0.02,0.16,3.13,T
Need for Speed Hot Pursuit Remastered,Need for Speed III: Hot Pursuit,0.8333333333333335,443,Racing,1998.0,2.14,0.86,0.0,0.13,3.12,ET
STAR WARS™ Episode I Racer,Star Wars Episode I Racer,0.9999999999999998,444,Racing,1999.0,2.31,0.62,0.14,0.04,3.12,E
DRAGON BALL Z: KAKAROT,Dragon Ball Z: Budokai,0.75,451,Fighting,2002.0,2.17,0.28,0.55,0.08,3.09,T
Borderlands 2 VR,Borderlands 2,0.8164965809277259,454,Shooter,2012.0,1.89,0.91,0.04,0.24,3.07,M
Devil May Cry 5,Devil May Cry,0.8660254037844387,476,Action,2001.0,1.36,0.86,0.64,0.13,2.99,M
The Sims™ 4 Seasons,The Sims 4,0.8660254037844387,479,Simulation,2014.0,0.96,1.72,0.0,0.29,2.97,T
HITMAN 2,Hitman 2: Silent Assassin,0.7071067811865475,483,Action,2002.0,1.36,1.15,0.04,0.41,2.96,M
Call of Duty®: WWII,Call of Duty: Finest Hour,0.6708203932499369,501,Shooter,2004.0,1.51,1.12,0.01,0.24,2.89,M
Mortal Kombat 11,Mortal Kombat,0.8164965809277259,509,Fighting,2011.0,1.98,0.55,0.0,0.32,2.85,M
Need for Speed HEAT,Need for Speed: Hot Pursuit,0.6708203932499369,523,Racing,2010.0,1.05,1.25,0.03,0.48,2.81,T
Jak II,Jak II,0.9999999999999998,538,Platform,2003.0,1.68,0.74,0.0,0.36,2.78,T
The Sims™ 4 Parenthood,The Sims,0.7071067811865475,542,Simulation,2003.0,1.41,1.12,0.0,0.24,2.77,T
